Housing,Brothers,Sisters,Movies/Shows,Social Media,Units,Study,Sleep,Free Time
"On-campus housing (Dorms, Glen Mor, etc.)",0,1,5,12,12,2,7,60
"On-campus housing (Dorms, Glen Mor, etc.)",2,0,4,1,14,5,6,20
"On-campus housing (Dorms, Glen Mor, etc.)",0,1,3,3,16,7,8,30
Living at home,0,0,6,1,15,8,6,10
Living at home,0,1,7,2,16,2,9,
Off-campus housing,1,0,5,4,13,1,7,20
Living at home,0,1,2,2,15,3,6,
"On-campus housing (Dorms, Glen Mor, etc.)",1,2,2,2,16,5,4,8
"On-campus housing (Dorms, Glen Mor, etc.)",1,0,14,5,16,20,7,4
"On-campus housing (Dorms, Glen Mor, etc.)",0,1,0,1,13,4,8,14
"On-campus housing (Dorms, Glen Mor, etc.)",1,0,0,2,14,6,6,14
"On-campus housing (Dorms, Glen Mor, etc.)",1,0,2,3,16,2,7,
Living at home,0,1,0,8,14,3,7,5
Living at home,1,1,3,1,16,7,8,24
"On-campus housing (Dorms, Glen Mor, etc.)",0,0,2,3,12,5,8,20
Living at home,3,3,1,3,12,4,6,5
"On-campus housing (Dorms, Glen Mor, etc.)",0,0,3,2,9,3,8,21
"On-campus housing (Dorms, Glen Mor, etc.)",1,0,1,1,1,5,4,10
Living at home,0,0,0,0,13,4,7,60
"On-campus housing (Dorms, Glen Mor, etc.)",0,0,5,3,16,3,9,8
Living at home,1,0,5,12,16,5,6,20
Off-campus housing,1,0,10,15,14,2,6,5
Off-campus housing,0,0,2,2,12,4,8,3
"On-campus housing (Dorms, Glen Mor, etc.)",0,1,5,5,15,2,8,18
"On-campus housing (Dorms, Glen Mor, etc.)",0,1,5,4,12,4,8,15
Off-campus housing,1,0,10,2,13,2,7,25
Off-campus housing,1,0,2,1,16,2,10,5
"On-campus housing (Dorms, Glen Mor, etc.)",1,0,3,3,16,5,6,28
Off-campus housing,2,0,2,2,12,3,7,28
Living at home,3,1,2,5,12,3,9,28
Off-campus housing,,,1,1,12,6,6,
Off-campus housing,0,0,1,1,16,2,6,20
"On-campus housing (Dorms, Glen Mor, etc.)",0,0,4,12,12,4,6,5
"On-campus housing (Dorms, Glen Mor, etc.)",1,0,0,0,13,6,9,21
"On-campus housing (Dorms, Glen Mor, etc.)",0,0,1,2,14,8,6,3
"On-campus housing (Dorms, Glen Mor, etc.)",1,1,2,2,14,5,8,5
Living at home,1,1,1,0,12,1,6,2
"On-campus housing (Dorms, Glen Mor, etc.)",1,0,30,3,17,5,6,35
"On-campus housing (Dorms, Glen Mor, etc.)",0,0,0,1,16,12,8,10
Living at home,2,4,4,3,12,2,7,48
"On-campus housing (Dorms, Glen Mor, etc.)",0,1,6,2,12,6,7,30
"On-campus housing (Dorms, Glen Mor, etc.)",1,0,21,2,12,5,6,21
Living at home,0,0,30,3,12,4,6,35
"On-campus housing (Dorms, Glen Mor, etc.)",2,0,15,2,13,3,8,15
"On-campus housing (Dorms, Glen Mor, etc.)",2,1,6,1,14,0,7,42
"On-campus housing (Dorms, Glen Mor, etc.)",0,0,3,2,20,5,7,40
Off-campus housing,1,1,0,,15,,3,
"On-campus housing (Dorms, Glen Mor, etc.)",2,0,2,1,17,1,9,8
"On-campus housing (Dorms, Glen Mor, etc.)",0,1,7,1,16,3,8,10
Off-campus housing,0,1,6,1,16,6,6,24
"On-campus housing (Dorms, Glen Mor, etc.)",3,1,0,4,18,6,7,10
Off-campus housing,0,0,0,0,12,3,7,20
"On-campus housing (Dorms, Glen Mor, etc.)",1,0,2,1,15,2,7,10
Off-campus housing,2,0,0,2,13,4,10,35
"On-campus housing (Dorms, Glen Mor, etc.)",0,1,2,1,17,4,9,4
"On-campus housing (Dorms, Glen Mor, etc.)",2,2,2,5,17,10,7,25
"On-campus housing (Dorms, Glen Mor, etc.)",1,1,0,2,16,5,7,6
"On-campus housing (Dorms, Glen Mor, etc.)",1,0,,1,17,4,7,
"On-campus housing (Dorms, Glen Mor, etc.)",0,1,15,4,15,7,8,15
Off-campus housing,1,0,4,1,17,1,9,60
"On-campus housing (Dorms, Glen Mor, etc.)",2,0,0,0,16,2,7,28
Off-campus housing,1,3,2,1,16,6,7,15
Living at home,0,0,14,0,17,12,8,24
"On-campus housing (Dorms, Glen Mor, etc.)",0,0,10,7,17,5,6,25
Living at home,3,0,5,2,16,4,7,
,,,,,,,,
"On-campus housing (Dorms, Glen Mor, etc.)",3,5,3,2,12,5,7,10
Living at home,2,2,3,2,15,4,7,15
Off-campus housing,2,0,6,1,15,8,6,18
Living at home,0,1,2,0,16,2,6,12
Living at home,3,0,2,2,17,6,6,12
Living at home,1,2,2,3,14,1,7,10
Off-campus housing,2,0,10,1,16,1,8,30
Off-campus housing,2,0,10,3,17,1,9,30
"On-campus housing (Dorms, Glen Mor, etc.)",0,1,10,1,14,3,7,20
Living at home,1,1,2,2,16,5,8,4
Living at home,1,2,9,5,10,5,8,30
Living at home,1,0,8,2,17,2,6,15
"On-campus housing (Dorms, Glen Mor, etc.)",0,1,10,2,15,4,6,8
Living at home,3,0,5,2,16,2,6,8
